-4,17.8105,1.40033
4,7.59761,-1.33509
-3.62538,4.0895,-6
0.602527,6.94908,-6
-2.32281,-3.98214,6
3.15741,1.74335,6
4,3.40165,-4.62056
-2.80246,-5,-4.67084
4,5.31763,0.491334
-4,1.21469,0.807663
-4,2.48958,-4.58688
1.01472,2,-0.839819
4,10.8882,-5.14445
-0.842597,-5,-2.66897
-4,1.17317,0.86406
0.899178,-0.309437,6
4,-0.292838,-2.86426
-3.97461,-5,-5.63992
4,1.8355,3.84058
-4,0.381847,-2.04752
1.623,2,-2.39774
4,-0.305266,-2.71147
-4,4.66747,-0.418698
0.986154,2,3.06828
-1.84808,6.03736,-6
-3.63887,-0.123968,6
3.35292,2.04904,-6
4,-2.29418,-0.927764
-2.08921,2,-1.05913
4,-2.48187,5.98953
2.9493,4.58827,-6
-0.319542,-5,5.91655
4,1.40367,1.54137
4,-2.17827,-5.39059
-4,-2.03331,0.386115
2.20336,0.821443,-6
-4,-1.17892,-0.124472
-2.70383,6.62129,6
-0.339605,2,-3.61342
-0.154435,2,1.44134
2.00723,2,-1.90698
-4,-0.493876,3.78332
-4,10.205,-1.90264
-4,-1.82896,4.09739
-0.638207,2,2.17622
-4,-4.55999,-1.8162
-2.36031,-5,0.126267
-4,1.02183,-2.31782
-4,14.9131,2.05611
4,-3.71657,-1.68166
-4,-0.0735233,-2.16037
-0.768263,2.21542,-6
-1.45017,5.23268,6
-0.448296,-0.0427218,6
4,-2.14984,0.669528
-1.67265,2.09235,-6
-3.93085,2,1.21984
-0.51228,-0.0352546,-6
-2.26007,6.84923,-6
-4,1.35512,-2.58055
0.212221,3.40992,-6
-3.50638,2,0.797309
0.594136,-3.32828,-6
0.120792,2,2.19591
4,6.80899,-3.30225
-4,0.353012,1.86666
-1.21106,2,3.81177
-3.80406,-1.93866,-6
1.14854,2,-5.52346
4,1.86478,-4.04561
-2.57714,2,3.8164
-4,0.293287,-0.406059
0.327184,2,-0.615851
4,-4.45986,0.407136
4,-0.164274,1.45016
-0.248061,0.492747,-6
-2.46856,-5,0.643449
-4,-0.292642,3.27349
-3.54408,9.74305,6
1.21426,-2.00687,-6
4,-0.522116,-5.1917
4,10.1945,-5.58783
-2.39798,22.2563,6
0.576624,-3.11002,6
-1.39954,-5,-2.02725
4,4.75928,-5.39898
1.53537,5.53699,-6
-3.93185,2,-1.38303
-3.15773,-2.72132,6
-3.79046,-5,-3.55875
-1.15197,-5,0.184265
-3.76416,5.97516,-6
0.41249,11.2411,6
4,8.18136,-3.35107
-2.41961,0.542238,-6
1.43564,-4.05926,6
-4,-0.648971,1.5709
0.713706,2,-0.0901737
1.63201,2,-1.55327
-3.04302,-3.26208,6
-2.84266,2,-4.74233
-4,-2.58655,-3.20202
4,0.865227,-0.12038
3.82227,-5,-5.62619
-4,-2.82717,3.29976
2.51195,0.208212,-6
-1.71659,9.84918,6
-4,2.32393,-0.419432
-2.15957,2,0.112847
-2.60387,3.58215,-6
-2.82381,2,0.813945
-4,4.24948,1.69536
4,0.991082,-2.54838
1.47116,-4.3501,6
-3.42267,18.2374,6
-0.411123,2,-5.59288
-4,-1.29805,1.91413
-1.31392,5.20707,6
-2.92355,1.22111,-6
-4,15.5694,4.48438
-4,1.30999,1.10433
-2.51009,2,-3.74468
1.51981,2,-4.87786
-4,0.812751,-0.693186
4,2.94977,1.40799
-1.20616,0.253304,-6
1.89862,-2.87,6
2.92459,-5,-5.5674
3.4004,4.32291,-6
4,6.00169,-3.53384
-4,1.85093,-1.87768
4,1.11765,-1.65712
-2.96056,16.25,6
-0.159036,-5,-4.75688
-4,1.68522,-2.4242
-0.596779,2,5.8765
-1.61673,2.83468,-6
2.91408,-3.97862,6
-4,0.528206,0.023261
4,4.83741,-3.05137
-2.60362,7.63636,-6
4,15.2079,-2.30652
-4,10.7013,3.31982
-0.694155,40.8568,6
-3.90592,-4.3515,6
1.58665,2,-0.862227
3.35169,2.6731,-6
1.24364,4.13286,-6
3.73025,-5,4.00115
2.559,-5,5.40418
-0.314422,-0.830405,-6
2.5179,-3.62287,-6
-4,-0.292735,0.135002
-4,3.69787,-2.09079
4,-0.679691,-4.39087
-2.90587,-1.54555,-6
-1.66841,-5,3.09911
3.64106,0.0948182,6
2.60775,-2.72885,-6
4,0.478787,-0.572397
4,-2.23879,2.88743
4,0.085238,-0.697197
1.28456,9.02252,-6
-4,2.02226,0.0655485
-3.63283,2,5.17162
1.26386,2,0.461426
0.949567,-5,5.66093
3.6126,6.79385,-6
4,7.32999,3.65544
-4,5.42537,0.822204
3.74977,2,0.895217
1.98796,2,5.35348
2.60906,2.7492,-6
-4,5.73581,-0.120336
-2.15064,-5,-1.28928
-0.854021,2,-5.5836
4,11.0818,-5.45461
4,-1.05564,-2.77493
-4,1.07929,-2.84451
-4,-0.632402,2.80865
-4,8.02364,-1.97205
0.967535,2,1.40327
1.03224,-5,-2.00272
3.81443,19.7731,6
4,-1.74211,-3.74531
-4,0.438163,-5.37615
-2.74922,5.12841,6
4,4.15349,-0.213438
1.48257,0.00959898,-6
-0.253564,2,1.15651
4,-1.31063,-5.53603
1.84572,-2.00305,6
2.56927,2,-2.45939
-0.54309,2,1.14794
4,9.24073,0.481146
1.74806,2,-2.54301
1.99406,2.39326,-6
-4,-3.99203,0.231401
4,-0.566026,1.1689
-4,5.24651,-2.34441
3.96679,-5,-3.93426
4,-2.05025,-3.17568
2.22043,2.64913,-6
4,10.0478,0.474579
-3.76115,2,-1.98269
-4,3.04593,-4.16095
4,8.05925,2.21356
-4,-1.22767,-3.60048
1.64373,2,0.131911
1.70383,1.97156,-6
-1.14024,-3.0154,6
-4,1.35082,4.11142
0.439782,-5,0.615162
-4,-4.77145,-3.51024
4,-3.1307,-3.53821
0.552535,2,-0.586818
2.34793,2,4.78334
2.37367,-4.33526,6
-2.17827,3.93648,-6
-4,0.782599,0.00879023
-1.176,-5,0.635316
4,-3.11385,-4.39444
4,-1.39787,-5.58654
-4,4.46902,-3.72484
3.66965,3.9697,-6
0.201688,-4.56912,6
-4,-1.38335,4.22204
0.254203,1.31537,-6
0.346528,-5,0.354114
4,8.03328,-3.88313
-4,-0.848434,3.51694
-4,3.33605,0.064783
4,4.66699,-2.85468
4,-3.14309,-5.92054
-3.96427,2,-2.71968
-4,0.60819,0.618317
-3.69135,2,-3.03203
-4,-4.85352,-5.19707
-2.98889,-4.6538,-6
-0.896925,-2.41624,6
0.493628,2,0.245073
4,0.0585305,-4.45481
4,8.16915,-4.73729
-2.29379,0.548287,-6
4,7.24228,-2.69299
-3.9195,3.0346,-6
-4,5.8598,0.819342
-3.23217,2,-5.5166
4,-1.60205,-4.20264
4,-2.99192,3.47447
-4,7.09064,1.61302
-3.40934,2,2.06285
3.6055,3.66405,-6
4,3.17866,1.53422
4,-4.66167,2.0453
-0.862279,1.56681,-6
-1.25001,0.540414,-6
-3.35263,-5,2.66705
-3.69158,7.90553,6
-4,31.4559,-5.40279
-4,-2.31375,3.20024
4,-4.78507,0.881357
4,5.46662,4.2879
-4,-1.40244,-1.85212
2.22827,-2.40988,-6
1.57695,-2.61642,-6
-0.79981,3.23552,-6
-4,4.62986,1.32604
-4,6.39209,3.2554
-4,0.706071,4.45965
3.4236,0.660696,-6
3.8398,-1.26898,6
4,5.69913,-1.65917
2.07929,30.3149,6
-0.123935,0.9483,-6
-4,0.378514,2.51242
-2.59864,2,0.328728
0.526118,2,1.82139
-4,-2.0997,2.20672
4,19.7244,-4.98611
4,2.33113,-5.61198
1.34225,2,-5.44709
4,-1.24995,1.30623
4,-4.027,5.90338
-3.99155,2,-3.65649
4,-0.875623,2.33505
0.895433,2,-0.624671
-4,-2.58931,0.440333
4,14.2439,3.78791
2.13635,-1.87515,6
4,1.6117,-3.11874
2.78318,-0.604243,-6
-4,5.42992,-3.69774
4,-2.4179,3.85437
4,4.13259,-5.38713
3.05811,2,-4.74562
-4,-1.152,-4.19859
4,4.68635,-3.95547
4,-0.356265,-3.35949
4,0.407507,4.02059
-1.82979,5.10408,6
-4,-0.412447,1.2463
4,1.02234,-0.117491
-2.64676,10.5999,6
4,12.8828,3.42637
-0.902739,-0.503817,-6
3.61038,2,5.84059
2.14449,4.33844,-6
4,11.3662,-3.12714
1.52013,-5,-2.27209
-0.348905,2,0.787489
0.0293785,11.0519,6
4,-1.85185,-0.261497
4,8.77965,3.16773
1.09979,2,0.447114
-4,0.630998,-3.36527
2.28371,-4.8907,6
0.348953,2,-4.49326
-0.913404,-5,-1.83247
-4,10.0349,3.48127
-3.12269,2,-2.9082
-4,2.12696,1.73677
-4,-3.40124,-1.84105
-4,-1.40626,3.30081
-0.0761455,2,0.945827
0.741582,2,2.22646
-3.74115,2,-1.07963
0.971977,13.5351,6
4,4.91091,1.44633
2.58162,4.79816,-6
-3.78192,2,-1.01748
1.20106,2,-0.38103
-4,4.06385,-3.2793
-4,7.148,0.0546854
4,-1.9428,0.737207
-1.6764,-3.5376,6
-2.80507,2,-4.8705
-1.58618,-5,-5.88393
4,5.48707,-3.52185
1.71693,2,1.11461
-0.692795,2,0.362008
-3.87302,2,-1.33931
-3.63057,2,-2.23358
-1.48894,-0.850749,-6
4,-3.31505,3.46983
4,-1.68217,-4.25073
-4,-3.57234,3.37276
3.42694,12.1694,-6
-3.40949,2,0.384014
-1.96027,-5,1.04405
0.451531,2,-4.45834
-4,3.38962,-2.47897
2.99183,8.21025,6
2.15563,3.1272,-6
3.49795,5.91923,-6
-0.476655,-2.26752,6
-4,1.4559,-2.13207
-4,6.2408,-4.62305
-4,7.57968,1.07689
-2.92961,2,2.00341
0.681263,2,0.786214
4,-3.4729,3.32591
-0.787529,2,-3.64002
-4,1.78602,2.45928
-0.637229,-1.26871,6
4,0.477601,-4.36646
4,6.9192,-4.59364
-4,-0.2346,-0.600048
1.83976,-5,-5.15659
0.799346,-5,-3.82501
-3.4924,2,-0.283819
-4,9.92949,4.63673
0.467216,1.57313,-6
-1.06478,1.11409,-6
-4,5.77999,-1.8236
4,6.28186,-4.31398
-1.96838,12.7371,6
-4,-2.40466,-5.5378
4,4.25714,0.178577
-4,1.05388,0.923494
-4,-2.22896,0.566971
4,8.91832,2.47125
4,0.963162,0.884172
-4,1.57532,0.965164
2.14517,-0.163061,-6
4,0.972018,-3.86064
1.50402,2,0.577372
-2.75202,-2.50542,6
4,13.2128,-3.46977
4,-0.213799,0.277075
-4,3.18528,2.45901
4,1.17601,-2.53047
4,2.9466,-5.47546
0.167668,1.89837,-6
4,-3.4389,-3.51848
-1.87177,-2.64922,-6
0.0556162,-5,5.05666
-4,5.60138,-5.71588
-0.562945,-5,-2.31696
-2.66837,1.76273,6
-0.0526581,2,-0.249434
3.17967,3.64288,-6
-3.82118,34.3116,6
-2.45913,4.44447,-6
-2.77666,5.78026,-6
0.799522,2,-1.15938
0.103328,2,0.730557
4,8.39858,-4.05714
4,0.141253,-2.1045
4,7.79941,0.120053
-4,-0.440323,0.63302
-0.0491702,6.1071,6
-0.432275,6.52185,6
-3.6697,2,-0.697921
4,-0.573682,-2.55903
0.175442,2,-0.526292
-4,8.4531,0.424021
-3.96907,4.80284,6
0.701611,2,1.94413
-3.25489,-5,1.07102
-4,4.56216,-2.13911
-4,-3.9855,-2.2274
-2.22954,2,-0.934989
-0.582498,-5,-0.217304
-2.69293,-2.56948,-6
-1.50682,-5,1.52453
0.744444,2,-0.869108
-2.43405,1.27663,-6
2.26722,-1.73662,-6
2.39063,-5,-0.023034
-3.78541,2,1.58388
2.02493,-5,5.81397
-3.03518,-3.36119,6
4,5.14204,-5.98681
-2.83007,2,-5.67715
4,-2.14574,-1.79472
0.692472,2,4.50364
-4,3.89342,-5.11976
-0.269719,13.8575,-6
4,5.9871,-4.69645
-2.36567,2,-5.66278
-3.83156,2,1.04547
-3.36639,-5,0.572867
4,6.67937,-5.39789
4,24.4413,3.25914
-1.23281,2,-5.65858
-4,-4.63785,-1.33773
3.10764,2,-0.41298
-2.86306,-5,-3.36997
-4,-0.37769,-3.06513
-1.20805,-2.18354,6
4,8.80608,-4.7976
-3.11289,5.61194,6
-4,-2.03561,-1.47214
0.566462,16.4626,6
1.22518,2,-0.883769
